"Survey","Number","substrate","Reltolow","SITE"
109,94,"rock",0,"Bull I."
110,60,"rock",3.9,"Bull I."
111,20,"rock",2.4,"Bull I."
112,137,"rock",0,"Bushy I. E."
113,0,"rock",0,"Bushy I. E."
114,52,"rock",3.5,"Bushy I. E."
115,184,"rock",0,"Bushy I. E."
116,191,"rock",0,"Bushy I. E."
117,94,"rock",0,"Bushy I. NE"
118,0,"rock",0,"Bushy I. NE"
119,0,"rock",0,"Bushy I. NE"
120,0,"rock",3.8,"Bushy I. NE"
121,10,"rock",2.1,"Bushy I. NW"
122,0,"rock",0,"Bushy I. NW"
123,0,"rock",0.7,"Bushy I. NW"
124,0,"rock",1.1,"Bushy I. NW"
125,10,"rock",5.5,"Cabras I."
126,18,"rock",1.4,"Cabras I."
127,20,"rock",1,"Cabras I."
128,4,"rock",0,"Cape Bartolome"
129,19,"rock",1.5,"Cape Bartolome"
130,27,"rock",0,"Cape Bartolome"
131,10,"rock",4,"Cape Chacon"
132,25,"rock",4.4,"Cape Chacon"
133,11,"rock",0,"Cape Chacon"
134,12,"rock",1.8,"Cape Muzon E."
135,22,"rock",0.9,"Cape Muzon E."
136,27,"rock",0,"Cape Muzon E."
137,8,"rock",3,"Cape Muzon W."
138,8,"rock",4.9,"Cape Muzon W."
139,8,"rock",0,"Carp I."
140,9,"rock",3.3,"Carp I."
141,17,"rock",2.9,"Carp I."
142,0,"rock",0,"Carp I."
143,0,"rock",3,"Carp I."
144,0,"rock",0,"Carp I."
145,0,"rock",4.6,"Carp I."
146,61,"rock",0,"Center"
147,97,"rock",2.4,"Center"
148,154,"rock",0.3,"Center"
149,192,"rock",0,"Center"
150,39,"rock",0,"Center"
151,57,"rock",0,"Center"
152,756,"ice",0,"Channel I. - SSEAK"
153,351,"rock",0,"Channel I. - SSEAK"
154,389,"rock",0,"Channel I. - SSEAK"
155,214,"rock",0,"Channel I. - SSEAK"
156,389,"rock",0,"Channel I. - SSEAK"
157,301,"rock",0,"Channel I. - SSEAK"
158,285,"rock",0,"Channel I. - SSEAK"
159,7,"rock",8.8,"Chichagof Bay"
160,25,"rock",0,"Chichagof Bay"
161,9,"rock",0,"Chichagof Bay"
162,5,"rock",0,"Chichagof Bay"
163,58,"rock",5.9,"Cholmondeley Sound"
164,170,"ice",0,"Cholmondeley Sound"
165,140,"rock",0,"Cholmondeley Sound"
166,202,"ice",0,"Cholmondeley Sound"
167,86,"rock",0,"Cholmondeley Sound"
168,19,"rock",0,"Cholmondeley Sound"
169,169,"ice",0.2,"Cholmondeley Sound"
170,45,"rock",0,"Clam I. - SSEAK"
171,50,"rock",6.6,"Clam I. - SSEAK"
172,45,"rock",0,"Clam I. - SSEAK"
173,56,"rock",6.6,"Clover Bay"
174,93,"rock",1.2,"Clover Bay"
175,82,"rock",3.6,"Clover Bay"
176,107,"ice",0,"Clover Bay"
177,102,"rock",0,"Clover Bay"
178,96,"rock",4.8,"Clover Bay"
179,99,"rock",6.4,"Clover Bay"
180,32,"rock",0.3,"Colpoys"
181,0,"rock",0,"Colpoys"
182,1,"rock",0,"Colpoys"
